"ID","Name","Description","URL","SKU","Categories","Status","Image","Price","Stock Status","Sale Price"
"4755","Hamlet Hot Sauces","<p>Choose from Pepper Sauce, Curry Sauce and Gravy.</p>","https://weshop4u.ie/products/hamlet-hot-sauces-4755","SF-2443-QJOU-sqtxL-ms95m-Q7xNc-ZMauH-dcUHp-xFoN6","Curtins Hamlet Sides and Sauces","published","https://weshop4u.ie/storage/pepper-sauce-curry-sauce-and-gravy.jpg","2.5","in_stock",""
"4756","M&S Chocolate Brownies Mini Bites 225g","","https://weshop4u.ie/products/ms-rocky-road-mini-bites-225g","SF-2443-06GG","Chocolates Multi packs and Boxes","published","https://weshop4u.ie/storage/ms-chocolate-brownie-mini-bites.jpg","5.5","in_stock",""
"4757","M&S Chocolate and Orange Mini Bites 225g","","https://weshop4u.ie/products/ms-chocolate-brownies-mini-bites-225g-4757","SF-2443-06GG-Qw7lk","Chocolates Multi packs and Boxes","published","https://weshop4u.ie/storage/ms-chocolate-and-orange-mini-bites.jpg","5.5","in_stock",""
"4758","M&S Chocolate Cornflake Mini Bites 225g","","https://weshop4u.ie/products/ms-chocolate-cornflake-mini-bites-225g","SF-2443-06GG-Qw7lk-JjsTW","Chocolates Multi packs and Boxes","published","https://weshop4u.ie/storage/ms-chocolate-cornflakes-mini-bites.jpg","5.5","in_stock",""
"4759","M&S Double Chocolate Mini Bites 225g","","https://weshop4u.ie/products/ms-double-chocolate-mini-bites-225g","SF-2443-06GG-Qw7lk-JjsTW-jrpkM","Chocolates Multi packs and Boxes","published","https://weshop4u.ie/storage/ms-double-chocolate-mini-bites.jpg","5.5","in_stock",""
"4760","M&S 2 Mini Bites for €9 225g","","https://weshop4u.ie/products/ms-2-mini-bites-for-eur9-225g","SF-2443-RVCG","Chocolates Multi packs and Boxes","published","https://weshop4u.ie/storage/mini-bites-2-for-9.jpg","9","in_stock",""
"4761","Hamlet Chef Special Pork Loin","<p>Loin of Pork Served With Mash Potato, Roast Potato, Fresh Market Veg, Stuffing and Gravy.</p>","https://weshop4u.ie/products/hamlet-chef-special-pork-loin","SF-2443-3RM7-MUeMg-Hw9zr-ouhvv-9pdld-bkufe","Curtins Hamlet Sunday Lunch","pending","https://weshop4u.ie/storage/hamlet-pork-loin.jpg","16.95","in_stock",""
"4762","2 for€12 Cocktails","<p>Choose between Strawberry Daiquiri, Sex on the Beach, Hamlet White Russian, Hamlet Black Russian, Pina Colada, Hamlet Holiday Cocktail, Disaronno Fizz. Raspberry Crush or Spicy Margarita.</p><p>Age Restricted Item. Identification must be shown to the driver.</p><p><br> </p>","https://weshop4u.ie/products/2-foreur12-cocktails-4762","SF-2443-DCDG-DupQJ-WtNLj-0K6y5-rtCWe-xMcuW-0KZgF-DF6b6-CE6ww-Syi60-N9nK6-BCkmM-Jjs9G-A3FY8-lSq7u-y3vAz-zuXC4-EtvGx-RlO2J-HnFTD-1voG3-wDbi3-X6lYx","Curtins Hamlet Coctkails","pending","https://weshop4u.ie/storage/hamlet-cocktails.jpg","12","in_stock",""
"4765","Hamlet Pepperoni Pizza","<p>Large slices of Pepperoni, Fresh Mozzarella, and our authentic pizza sauce.</p>","https://weshop4u.ie/products/hamlet-pepperoni-pizza","SF-2443-JIMI-A3Tjg-eeAoM","Curtins Hamlet Pizzas","published","https://weshop4u.ie/storage/screenshot-20250807-130022-facebook.jpg","12.95","in_stock",""
"4766","Hamlet Cajun Chicken Pizza","<p>Fresh Mozzarella, Cajun Chicken and our authentic pizza sauce.</p>","https://weshop4u.ie/products/hamlet-cajun-chicken-pizza","SF-2443-JIMI-A3Tjg-eeAoM-RVhm8","Curtins Hamlet Pizzas","published","https://weshop4u.ie/storage/screenshot-20250807-130022-facebook.jpg","12.95","in_stock",""
"4767","Hamlet Margherita Pizza","<p>Fresh Mozzarella and our authentic pizza sauce.</p>","https://weshop4u.ie/products/hamlet-margherita-pizza","SF-2443-JIMI-A3Tjg-eeAoM-RVhm8-zNjPA","Curtins Hamlet Pizzas","published","https://weshop4u.ie/storage/screenshot-20250807-130022-facebook.jpg","12.95","in_stock",""
"4768","Chips Open All Ours","<p>Tasty Chunky Potato Chips cooked in Beef Dripping.</p>","https://weshop4u.ie/products/chips-open-all-ours","SF-2443-L0IM","Open All Ours,Chips and Wedges Open All Ours","pending","https://weshop4u.ie/storage/chips-open-all-ours.jpg","3.5","in_stock",""
"4769","Rated Test","","https://weshop4u.ie/products/rated-test","SF-2443-GMYG","Spirits","pending","https://weshop4u.ie/storage/chips-open-all-ours.jpg","0.1","in_stock",""
"4770","Rated Test 2","<p>TEST ORDER</p>","https://weshop4u.ie/products/rated-test-2","SF-2443-GMYG-Jy0Is","Rolls","pending","https://weshop4u.ie/storage/chips-open-all-ours.jpg","0.1","in_stock",""
"4771","Curry Chips","<p>Tasty Chunky Potato Chips cooked in Beef Dripping and topped with Curry Sauce.</p>","https://weshop4u.ie/products/curry-chips","SF-2443-U4SI","Open All Ours,Chips and Wedges Open All Ours","pending","https://weshop4u.ie/storage/curry-chips-in-tray.jpg","4.5","in_stock",""
"4772","Garlic Cheese Chips","<p>Tasty Chunky Potato Chips cooked in Beef Dripping and topped with Garlic and Creamy Cheese Sauce.</p>","https://weshop4u.ie/products/curry-chips-4772","SF-2443-U4SI-lxoEb","Open All Ours,Chips and Wedges Open All Ours","pending","https://weshop4u.ie/storage/cheese-and-garlic-chips-in-tray.jpg","5","in_stock",""
